Release Date,Time,Actual,Forecast,Previous,
"Jul 30, 2019 (Jul)",19:01,-11,-13,-13,
"Jun 27, 2019 (Jun)",19:01,-13,-11,-10,
"May 30, 2019 (May)",19:01,-10,-12,-13,
"Apr 29, 2019 (Apr)",19:01,-13,-12,-13,
"Mar 28, 2019 (Mar)",20:01,-13,-14,-13,
"Feb 27, 2019 (Feb)",20:01,-13,-15,-14,
"Jan 30, 2019 (Jan)",20:01,-14,-14,-14,
"Dec 20, 2018 (Dec)",20:01,-14,-14,-13,
"Nov 29, 2018 (Nov)",20:01,-13,-11,-10,
"Oct 30, 2018 (Oct)",20:01,-10,-10,-9,
"Sep 27, 2018 (Sep)",19:01,-9,-8,-7,
"Aug 30, 2018 (Aug)",19:01,-7,-10,-10,
"Jul 30, 2018 (Jul)",19:01,-10,-9,-9,
"Jun 28, 2018 (Jun)",19:01,-9,-7,-7,
"May 30, 2018 (May)",19:01,-7,-8,-9,
"Apr 26, 2018 (Apr)",19:01,-9,-7,-7,
"Mar 28, 2018 (Mar)",19:01,-7,-10,-10,
"Feb 27, 2018 (Feb)",20:01,-10,-10,-9,
"Jan 31, 2018 (Jan)",12:00,-9,-13,-13,
"Dec 20, 2017 (Dec)",20:01,-13,-12,-12,
"Nov 29, 2017 (Nov)",20:01,-12,-11,-10,
"Oct 30, 2017 (Oct)",20:01,-10,-10,-9,
"Sep 28, 2017 (Sep)",19:01,-9,-11,-10,
"Aug 30, 2017 (Aug)",19:01,-10,-13,-12,
"Jul 27, 2017 (Jul)",19:01,-12,-11,-10,
"Jun 29, 2017 (Jun)",19:01,-10,-7,-5,
"May 30, 2017 (May)",19:01,-5,-8,-7,
"Apr 27, 2017 (Apr)",19:01,-7,-7,-6,
"Mar 30, 2017 (Mar)",19:01,-6,-7,-6,
"Feb 27, 2017 (Feb)",20:01,-6,-6,-5,
"Jan 30, 2017 (Jan)",20:01,-5,-8,-7,
"Dec 21, 2016 (Dec)",20:01,-7,-8,-8,
"Nov 29, 2016 (Nov)",20:01,-8,-4,-3,
"Oct 27, 2016 (Oct)",20:01,-3,-3,-1,
"Sep 29, 2016 (Sep)",19:01,-1,-5,-7,
"Aug 30, 2016 (Aug)",19:01,-7,-8,-12,
"Jul 28, 2016 (Jul)",19:01,-12,-8,-9,
"Jul 07, 2016",19:05  ,-9, ,-1,
"Jun 29, 2016 (Jun)",19:05,-1,-2,-1,
"May 26, 2016 (May)",19:05,-1,-1,-3,
"Apr 28, 2016 (Apr)",19:05,-3,-1,0,
"Mar 30, 2016 (Mar)",19:01,0,-1,0,
"Feb 25, 2016 (Feb)",20:05,0,3,4,
"Jan 28, 2016 (Jan)",20:05,4,1,2,
"Dec 21, 2015 (Dec)",20:05,2,1,1,
"Nov 26, 2015 (Nov)",20:05,1,2,2,
"Oct 29, 2015 (Oct)",20:05,2,4,3,
"Sep 29, 2015 (Sep)",19:05,3,6,7,
"Aug 27, 2015 (Aug)",19:01,7,4,4,
"Jul 30, 2015 (Jul)",19:05,4,5,7,
"Jun 29, 2015 (Jun)",19:05,7,2,1,
"May 28, 2015 (May)",19:05,1,4,4,
"Apr 29, 2015 (Apr)",19:05,4,4,4,
"Mar 30, 2015 (Mar)",19:05,4,2,1,
"Feb 26, 2015 (Feb)",20:05,1,2,1,
"Jan 29, 2015 (Jan)",20:05,1,-2,-4,
"Dec 18, 2014 (Dec)",20:05,-4,-1,-2,
"Nov 27, 2014 (Nov)",20:05,-2,-1,-2,
"Oct 30, 2014 (Oct)",20:05,-2,-2,-1,
"Sep 29, 2014 (Sep)",19:05,-1,0,1,
"Aug 28, 2014",19:05,1,-1,-2,
"Jul 30, 2014",19:05,-2,2,1,
"Jun 26, 2014",19:05,1,2,0,
"May 29, 2014",19:05,0,-2,-3,
"Apr 29, 2014",19:05,-3,-4,-5,
"Mar 27, 2014",20:05,-5,-6,-7,
"Feb 27, 2014",20:05,-7,-7,-7,
"Jan 30, 2014",20:05,-7,-12,-13,
"Dec 19, 2013",20:05,-13,-11,-12,
"Dec 19, 2013",19:45,-13,-11,-12,
"Nov 28, 2013",20:05,-12,-10,-11,
"Oct 30, 2013",20:05,-11,-8,-10,
"Sep 26, 2013",19:01,-10,-11,-13,
"Aug 29, 2013",19:01,-13,-14,-16,
"Jul 30, 2013",19:05,-16,-20,-21,
"Jun 27, 2013",19:01,-21,-21,-22,
"May 30, 2013",19:05,-22,-26,-27,
"Apr 29, 2013",19:01,-27,-26,-26,
"Mar 27, 2013",20:01,-26,-27,-26,
"Feb 27, 2013",20:01,-26,-27,-26,
"Jan 30, 2013",20:01,-26,-29,-29,
"Dec 20, 2012",20:01,-29,-25,-22,
"Nov 29, 2012",20:01,-22,-30,-30,
"Oct 30, 2012",20:01,-30,-28,-28,
"Sep 27, 2012",19:01,-28,-28,-29,
"Aug 30, 2012",19:01,-29,-27,-29,
"Jul 30, 2012",19:01,-29,-29,-29,
"Jun 28, 2012",19:01,-29,-29,-29,
"May 30, 2012",19:01,-29,-32,-31,
"Apr 26, 2012",19:01,-31,-30,-31,
"Mar 29, 2012",19:01,-31,-29,-29,
"Feb 28, 2012",20:01,-29,-27,-29,
"Jan 30, 2012",20:01,-29,-32,-33,
"Dec 20, 2011",20:01,-33,-30,-31,
"Nov 29, 2011",20:01,-31,-33,-32,
"Oct 27, 2011",19:01,-32,-30,-30,
"Sep 29, 2011",19:01,-30,-33,-31,
"Aug 30, 2011",19:01,-31,-31,-30,
"Jul 28, 2011",19:01,-30,-26,-25,
